Date,Value
2002-08-31,-0.0017667844522968
2002-07-31,-0.0052972336668629
2002-06-30,-0.0076560659599529
2002-05-31,-0.01002358490566
2002-04-30,-0.011806375442739
2002-03-31,-0.013569321533923
2002-02-28,-0.0094674556213018
2002-01-31,-0.0029761904761905
2001-12-31,0.0017942583732057
2001-11-30,0.0078078078078078
2001-10-31,0.018148820326679
2001-09-30,0.032967032967033
2001-08-31,0.043638598647818
2001-07-31,0.04747225647349
2001-06-30,0.050092764378479
2001-05-31,0.054070851460535
2001-04-30,0.060075093867334
2001-03-31,0.066037735849057
2001-02-28,0.065573770491803
2001-01-31,0.05993690851735
2000-12-31,0.055555555555556
2000-11-30,0.049810844892812
2000-10-31,0.040931989924433
2000-09-30,0.031486146095718
2000-08-31,0.027795325331649
