cameraLocation,cameraNumber,cameraProject,Location 1
550 N Broadway,143,Hopkins Fixed Cameras,"(39.29668171710, -76.59474184080)"
525 N Wolfe St,168,Hopkins Fixed Cameras,"(39.29708020750, -76.59067219910)"
525 N Wolfe St,149,Hopkins Fixed Cameras,"(39.29732157790, -76.59044465500)"
McElderry St & N Washington St,152,Hopkins Fixed Cameras,"(39.29736384010, -76.58963477690)"
518 N Washington St,156,Hopkins Fixed Cameras,"(39.29688380250, -76.58960456250)"
N Washington St & Jefferson St,163,Hopkins Fixed Cameras,"(39.29650716740, -76.58957499560)"
1909 McElderry St,170,Hopkins Fixed Cameras,"(39.29711430210, -76.59018671770)"
1910 Jefferson St,158,Hopkins Fixed Cameras,"(39.29670643130, -76.59015962850)"
N Wolfe St & Jefferson St,166,Hopkins Fixed Cameras,"(39.29648030840, -76.59062482640)"
1910 Jefferson St,0,Hopkins Fixed Cameras,"(39.29647902000, -76.59032356830)"
1910 Jefferson St,0,Hopkins Fixed Cameras,"(39.29648531090, -76.59014563120)"
201 N Broadway,86,Hopkins Fixed Cameras,"(39.29517335760, -76.59116423650)"
201 N Broadway,83,Hopkins Fixed Cameras,"(39.29512181420, -76.59255879830)"
201 N Broadway,81,Hopkins Fixed Cameras,"(39.29509348190, -76.59337876030)"
201 N Broadway,128,Hopkins Fixed Cameras,"(39.29503639280, -76.59382784820)"
N Broadway & Orleans St,78,Hopkins Fixed Cameras,"(39.29540010020, -76.59378920900)"
N Broadway & Orleans St,141,Hopkins Fixed Cameras,"(39.29538330840, -76.59430669560)"
401 N Caroline St,138,Hopkins Fixed Cameras,"(39.29535732820, -76.59479912530)"
401 N Caroline St,73,Hopkins Fixed Cameras,"(39.29533466280, -76.59545286040)"
401 N Caroline St,68,Hopkins Fixed Cameras,"(39.29527782220, -76.59695244490)"
201 N Broadway,131,Hopkins Fixed Cameras,"(39.29446085130, -76.59377863490)"
N Broadway & E Fayette St,107,Hopkins Fixed Cameras,"(39.29404702680, -76.59376647420)"
1780 E Fayette St,113,Hopkins Fixed Cameras,"(39.29409525800, -76.59247274010)"
1780 E Fayette St,115,Hopkins Fixed Cameras,"(39.29413214500, -76.59156716030)"
E Fayette St & N Wolfe St,89,Hopkins Fixed Cameras,"(39.29415483290, -76.59072460560)"
